date,E0,Eend,min_energy,G,H,peak_emergency_kw,plan_cost,emergency_cost,cash_cost,emergency_days,emergency_slots,unused,curtailment,pv,storage_loss,max_residual,model,alpha,plan_feasible,objective,constraint_violation,risk_budget,risk_cvar,stress_budget,design_stress_cost,forecast_train_end,scene_end,effective_scenarios,var_exceeded,development_stress_worst_cost,locked_plan_sha256,array_sha256,predicted_beta,predicted_mean_emergency_cost,predicted_emergency_var,predicted_emergency_cvar,predicted_robust_emergency_cvar,predicted_cash_var,predicted_cash_cvar,predicted_emergency_probability,predicted_mean_end_energy,predicted_low_end_energy,predicted_minimum_energy,predicted_worst_emergency_kwh,predicted_effective_n,optimizer_evaluations
2025-02-01,10800.0,6842.212780747356,2077.9493009259263,38954.085855208774,0.0,0.0,21245.449132539536,0.0,21245.449132539536,0,0,1689.045540343212,3771.3344999999995,41927.03035,3073.317100784868,8.952838470577262e-13,M2,0.25000000000000006,True,26321.05525801856,0.0,,,,,2025-01-31,2025-01-31,28.047968011126635,False,70130.15877262263,15da041ce64dcc06bd55004df2c0911b08bee066e11d357634a3eee1bd703b2a,6fe5b58e164fd66c1b66f05145c609a0c86d4fe1e358d329c10d2fb06ca50f34,0.9,7176.072116966911,2110.0106697165957,70977.95847326369,189196.96291236562,23355.459802256133,92223.40760580322,0.20216764322947597,6291.353063127111,5620.754436335979,1299.8148148148143,47501.708973293564,28.047968011126635,3000
2025-02-02,6842.212780747356,4082.3319968175283,1457.1461963655838,87479.8608313835,0.0,0.0,55850.64679982063,0.0,55850.64679982063,0,0,7563.090417325235,59.174066666666704,43349.69469999999,4261.199181321423,9.094947017729282e-13,M2,0.9,True,63243.02749113543,0.0,,,,,2025-02-01,2025-02-01,28.804209643720352,False,81355.42751539213,cee8ccb9e851359578f05cbea2d90ccfbf774dfe6204a478280d24027128e97a,845096ed59c355d5a41a2d167e260ef1766a291cedf3cad1657d4d22da9e01de,0.9,8489.529884241827,5194.192964617348,73759.80794700854,187338.8582399505,61044.83976443797,129610.45474682917,0.6229952346835679,3859.3974512101277,3283.863963349874,1200.0000000000011,48596.11464492218,28.804209643720352,3000
2025-02-03,4082.3319968175283,4600.7910205911485,2038.7276921730927,89511.0315244016,0.0,0.0,56928.76386616176,0.0,56928.76386616176,0,0,4495.006011496732,0.0,42386.85249999999,4280.649989131255,9.094947017729282e-13,M2,0.39999999999999997,True,61959.462290388576,0.0,,,,,2025-02-02,2025-02-02,29.91039312965003,False,99339.97974622843,ec1268ba2a5154e73596f6150a8065a1c694cb774a53ffadc60b4504dfb97125,11dadcfbe7c953164615a7bbba632fe5f89ff65b0ec002b4614cef99d93b4769,0.9,6280.913433168812,2946.6316461948645,59572.46620774543,179604.66408549703,59875.39551235663,116501.23007390718,0.35236778123375745,4230.416127249648,3427.897304324349,1357.166666680103,47519.096971587074,29.91039312965003,3000
2025-02-04,4600.7910205911485,4672.734314695772,1634.0087928634425,88713.93615053364,0.0,0.0,56150.43187012783,0.0,56150.43187012783,0,0,2822.007584101081,0.0,40383.2349,4625.121322327939,9.094947017729282e-13,M2,0.9,True,61930.482762282336,0.0,,,,,2025-02-03,2025-02-03,31.196761996969347,False,98350.73006531851,6799f87ff829574cf696c5d13791b4fb1745f6ee11b31fb7e7b9204148a0a7b8,a277bd1cb94ec851f3066f4d7345a6d7e645a67b11fb2d0c0df016e7729b228a,0.9,7120.623665940593,6270.174987102889,59810.36545036451,174491.57246227967,62420.60685723072,115960.79732049233,0.591773897024076,4449.435756551249,3742.392908028315,1200.6666666666656,48881.06591614872,31.196761996969347,3000
2025-02-05,4672.734314695772,4595.360991576598,1535.3860024165404,88730.65093657581,0.0,0.0,56076.45654654231,0.0,56076.45654654231,0,0,3509.4656910192834,0.0,41242.65745,4550.131585342377,9.094947017729282e-13,M2,0.9,True,61869.496332783194,0.0,,,,,2025-02-04,2025-02-04,32.78060316821474,False,96385.9291195632,9098d890cacf71d80ecadefee45e7d3b26aaae71d62ade9335be504d3ee32f34,aed472805ff3769e1078b0e519e0b054f59ba19cd55dd0eff2c685e48d584131,0.9,7152.240180087553,4970.207534566204,60762.496297014135,175782.09546473325,61046.66408110851,116838.95284355644,0.5781812815284938,4494.587542316183,3833.919535466273,1199.9999999999995,48578.38909793535,32.78060316821474,3000
2025-02-06,4595.360991576598,4717.832043408294,1844.6675452003049,89603.79596042978,0.0,0.0,57102.64776327794,0.0,57102.64776327794,0,0,4993.773841386359,1.400816666666742,41981.10548333333,4215.093033878391,9.094947017729282e-13,M2,0.39999999999999997,True,62124.99762549365,0.0,,,,,2025-02-05,2025-02-05,33.86212468912227,False,97349.43873854518,f3aae2debd31c21cfa6cecb2fc5313e8131eb82c51cd727087c5686607241774,2e1b85996e401320881a4d4f4cf43768bb8769f1affad430a6cfca5ce2c5bd38,0.9,6429.381584615775,1988.3846659938256,61676.19167033916,182017.4636396385,59091.03242927177,118778.8394336171,0.37055033974203394,4610.526663506759,3873.529858131936,1327.7777777777778,47154.50068777116,33.86212468912227,3000
2025-02-07,4717.832043408294,4408.266676563691,1888.5946274499288,41555.92548708324,0.0,0.0,22158.861038598337,0.0,22158.861038598337,0,0,1528.7048198188877,4962.5987150205765,44362.91726666666,3568.5076524217193,9.094947017729282e-13,M2,0.05,True,26710.07224458439,0.0,,,,,2025-02-06,2025-02-06,34.638808005107244,False,73291.20922264384,1faeb2021761c2b0b40ed425c3c9d6a373e32d664ea5a3e9b17ad07aa40f65c2,fe5aa30632e58685392bc464496dd02ddc8d1240b191137b208091ac1f7d9048,0.9,5884.9062638309615,1371.6220105893665,58475.973086020735,177213.34641682034,23530.483049187704,80634.83412461907,0.15931234085501675,4432.764751038026,3445.2667885537962,1226.962962962963,47278.71935452061,34.638808005107244,3000
2025-02-08,4408.266676563691,4621.566375853816,1751.8283756569679,40688.576048040006,0.0,0.0,21223.557460028293,0.0,21223.557460028293,0,0,1525.1293796250802,3780.0540666666666,44169.6248,3592.9301857914807,9.094947017729282e-13,M2,0.3000000000000001,True,26463.259988984624,0.0,,,,,2025-02-07,2025-02-07,34.37643360843018,False,76687.2444333356,e3ab92b3cf98ad2400d858a126ad7700fb5734037750f276d97774a96a1851c8,d6659bd40042a42aa18f8b36ac2bb890cc7ce9545c719741a2a148ed36ce5735,0.9,6606.6611383250865,2557.3050062578204,65010.559053003155,182439.1910927279,23780.86246628611,86234.11651303145,0.19951732466410294,4513.392804825956,3722.125158311612,1276.8589217876035,47315.21194129674,34.37643360843018,3000
2025-02-09,4621.566375853816,4237.002697862191,1328.1230753968243,86278.50827118187,0.0,0.0,54301.32588618572,0.0,54301.32588618572,0,0,2535.8752476673385,0.0,41992.48759999999,4571.780734839485,8.841816168114747e-13,M2,0.9,True,60522.17843188009,0.0,,,,,2025-02-08,2025-02-08,35.152832400658255,False,103171.20413157596,3890aaaca3d142edb988d831634a28cf6fde1855a308461b2a5158d69dab96e5,2f8cb4a46627591db74e304377384339de10b546f4564f29a4853ea8f75b795c,0.9,7545.045462201858,5241.888153129181,66668.64246825651,181961.96055070704,59543.2140393149,120969.96835444223,0.5459421400711588,4409.732358892371,3829.847093360429,1199.9999999999989,48914.35096081824,35.152832400658255,3000
2025-02-10,4237.002697862191,3501.7467944664236,1283.1913178067541,86624.408829181,0.0,0.0,54649.61986330108,0.0,54649.61986330108,0,0,8359.85610747354,670.63425,47150.92693333333,4002.5367917699036,9.094947017729282e-13,M2,0.8750000000000001,True,60037.88337402519,0.0,,,,,2025-02-09,2025-02-09,37.353081342028865,False,82520.70159819331,5e2259d94a86946eb44715b730102adb7b6b24fc4f6b93f5268a0c0727de9fd1,0a395fe042a6b8df378f4f607e4e6dcac1a93529383991920d3ce5d2cbf36849,0.9,6483.155139527267,5115.73606674307,55569.46727907937,171579.29226998574,59765.35593004415,110219.08714238045,0.5476105149588597,3853.9253054749365,3265.8864212616613,1200.0000000000005,48948.4030108843,37.353081342028865,3000
