date,E0,Eend,min_energy,G,H,peak_emergency_kw,plan_cost,emergency_cost,cash_cost,emergency_days,emergency_slots,unused,curtailment,pv,storage_loss,max_residual,model,alpha,plan_feasible,objective,constraint_violation,risk_budget,risk_cvar,stress_budget,design_stress_cost,forecast_train_end,scene_end,effective_scenarios,var_exceeded,development_stress_worst_cost,locked_plan_sha256,array_sha256,predicted_beta,predicted_mean_emergency_cost,predicted_emergency_var,predicted_emergency_cvar,predicted_robust_emergency_cvar,predicted_cash_var,predicted_cash_cvar,predicted_emergency_probability,predicted_mean_end_energy,predicted_low_end_energy,predicted_minimum_energy,predicted_worst_emergency_kwh,predicted_effective_n,optimizer_evaluations
2025-02-01,10800.0,10800.0,10778.52806238977,78999.47748384354,0.0,0.0,60737.37324306716,0.0,60737.37324306716,0,0,34144.766702570276,10472.001883333332,41927.03035,4.532964606604001,8.08242361927114e-13,M3-R,0.0,True,58863.00180437948,0.0,17793.047663200246,17787.90757463195,,,2025-01-31,2025-01-31,28.047968011126635,False,0.0,53d000c9dde5f214cdbd0f4c725e58ae538039d14c4a6e3ae2fed39a04d5f3bd,f918adee14fe832593594e2422636c867d4978f39865d0f78d2d16feee060069,0.9,638.0468598733811,0.0,6380.4685987338125,17787.90757463195,60737.37324306716,67117.84184180097,0.027966262244376643,10532.278337419084,10800.0,1200.0,4904.452794335676,28.047968011126635,3000
2025-02-02,10800.0,10800.0,10646.303197089948,119283.27237108843,0.0,0.0,95661.44146729248,0.0,95661.44146729248,0,0,40457.354768251884,437.1925500000003,43349.69469999999,32.447102836566614,8.064660050877137e-13,M3-R,0.0,True,95378.9193984024,0.0,33681.24385864624,33680.68240559649,,,2025-02-01,2025-02-01,28.804209643720352,False,0.0,b3ec2edf31f6c7074c5ef147005f81b3189c664fca1926fd064e2582e03cb576,25501a6e7d8e500db5c6f4da55fa074cc39f4477940953b985f45f24ffc6039d,0.9,1245.2780450418043,0.0,12452.780450418046,33680.68240559649,95661.44146729248,108114.22191771053,0.0293311615926798,10522.230296550993,10800.0,1200.0,9839.359141787027,28.804209643720352,3000
2025-02-03,10800.0,10800.0,10733.654212962963,117004.78824954649,0.0,0.0,93789.21221126796,0.0,93789.21221126796,0,0,36693.19893339423,80.66648333333335,42386.85249999999,14.00633281892997,4.547473508864641e-13,M3-R,0.0,True,93448.50436570708,0.0,33369.201522300646,33368.5593791963,,,2025-02-02,2025-02-02,29.91039312965003,False,0.0,1386e59277ccc0d89d68cc4f38d9f9955b5208c416b741022ca71b5d3b2e4914,fb0e0f45b7daa9c087b7a8bd2ce8a1ad1c0e31afc5becc886b35480953ad77ac,0.9,1032.951244412677,0.0,10329.512444126773,33368.5593791963,93789.21221126796,104118.72465539473,0.02241740396909262,10587.67573466304,10800.0,1200.0,11127.391266373568,29.91039312965003,3000
2025-02-04,10800.0,10800.0,10741.080749338624,116861.0612181406,0.0,0.0,93722.15405007801,0.0,93722.15405007801,0,0,35334.71040966764,319.0483500000002,40383.2349,12.438508472957132,4.334310688136611e-13,M3-R,0.0,True,93373.96917250681,0.0,33291.129733372334,33291.04787141371,,,2025-02-03,2025-02-03,31.196761996969347,False,0.0,3620f365a88bc6017a13b19911f99fcd8e0b5d1369a37c445448f95247cba183,301ccbec31d2ae6a346c0dffcba35258ed3a46b0f124b54947fb4ba387e76c11,0.9,1029.139586106193,0.0,10291.395861061934,33291.04787141371,93722.15405007801,104013.54991113994,0.02237293820017351,10587.761293803473,10800.0,1200.0,11183.462487745448,31.196761996969347,3000
2025-02-05,10800.0,10800.0,10632.822174823634,116754.74288951248,0.0,0.0,93671.10215640478,0.0,93671.10215640478,0,0,35929.84045975302,41.182350000000326,41242.65745,35.29309642612175,6.536993168992922e-13,M3-R,0.0,True,93320.25533138837,0.0,33232.65357820239,33228.93239661725,,,2025-02-04,2025-02-04,32.78060316821474,False,0.0,d38de90ad97f9a1f52c3541289979cc92d5949e9dc32b56d3a1de59846acac35,f89159aa4d734f46b08119dfc675646eeb873a780b318018b8161f14160084c8,0.9,1059.2176348071443,0.0,10592.176348071445,33228.93239661725,93671.10215640478,104263.27850447623,0.02339596787931081,10578.407361589656,10800.0,1200.0,10906.165783910697,32.78060316821474,3000
2025-02-06,10800.0,10800.0,10651.035947751323,117115.88129773243,0.0,0.0,94039.79286849758,0.0,94039.79286849758,0,0,36811.97529781327,1.400816666666742,41981.10548333333,31.44796658583185,2.7000623958883807e-13,M3-R,0.0,True,93710.85540119337,0.0,33450.31372591545,33445.92029198554,,,2025-02-05,2025-02-05,33.86212468912227,False,0.0,90d14753d6ab73eb6980ee8f00625f8e7c164581b978805920634d37fc54eed4,8ae9608f5c89ce0322cc29b53fccb36ab06aa7556c073c553109256dc1c96d39,0.9,1067.8060729641136,0.0,10678.060729641138,33445.92029198554,94039.79286849758,104717.85359813871,0.023449856365289398,10577.896962026385,10800.0,1200.0,11047.327579007824,33.86212468912227,3000
2025-02-07,10800.0,10800.0,10780.604614417989,77248.90985070862,0.0,0.0,59357.664565243766,0.0,59357.664565243766,0,0,33039.732369307974,12399.403233333333,44362.91726666666,4.094581400646715,3.801403636316536e-13,M3-R,0.0,True,57408.141779424026,0.0,17242.48228262188,17238.58048076201,,,2025-02-06,2025-02-06,34.638808005107244,False,0.0,b3e912b21b9a171777812f1225c6544220fa317547de8e39a9b63ae03822964b,55e8e956e527a607c011bc47d7a8af67686973c240d2f34cfa05d0a04f5b133b,0.9,540.7431872773956,0.0,5407.431872773957,17238.58048076201,59357.664565243766,64765.096438017725,0.022852522827424435,10581.286616359444,10800.0,1200.0,5059.317910888782,34.638808005107244,3000
2025-02-08,10800.0,10800.0,10781.093754188712,76865.6571662415,0.0,0.0,58231.409160747586,0.0,58231.409160747586,0,0,33628.954097681344,11655.549033333331,44169.6248,3.991318560160709,1.1368683772161603e-13,M3-R,0.0,True,56265.088180692925,0.0,17000.04833037379,16996.597508291954,,,2025-02-07,2025-02-07,34.37643360843018,False,0.0,8b342888fa07cb9640699243aa341007d208dda28d72a904283be2e738b8c84c,7057c3e9b40aabd48be352c091dd3ab02cea3c4aa0c6200803837cfd8484a908,0.9,572.291286813514,0.0,5722.912868135141,16996.597508291954,58231.409160747586,63954.32202888273,0.025381732108019736,10559.599388482047,10800.0,1200.0,3963.190020840216,34.37643360843018,3000
2025-02-09,10800.0,10800.0,10647.22523787478,115805.92366734694,0.0,0.0,93065.09352130492,0.0,93065.09352130492,0,0,36165.825834231626,52.42941666666661,41992.48759999999,32.25244978199094,4.263256414560601e-13,M3-R,0.0,True,92649.31206682773,0.0,32493.942385652463,32491.493618772914,,,2025-02-08,2025-02-08,35.152832400658255,False,0.0,faa655f0d2079d26cd44da8357bae2c5f0e48454b4ef501fc48cdb6621ed2d8c,8b66c7683aec9ae6434a758121999e80c963af93ca8c5244f84679433d6ab2f3,0.9,1101.963666530719,0.0,11019.636665307191,32491.493618772914,93065.09352130492,104084.73018661211,0.025660651263626596,10556.99048026844,10800.0,1200.0,9880.549233602213,35.152832400658255,3000
2025-02-10,10800.0,10800.0,10651.05684457672,114973.64572287415,0.0,0.0,92292.21335925398,0.0,92292.21335925398,0,0,39163.836817840354,1451.727766666667,47150.92693333333,31.44355503380354,4.298783551348606e-13,M3-R,0.0,True,91872.77219557462,0.0,32645.697512960323,32641.858676022817,,,2025-02-09,2025-02-09,37.353081342028865,False,0.0,791f9a0b970d268a8b7eb8f8d9efa00c1a66829c498a947ce55a5fc77bd2508a,cf94f7f72861690cf42bdea4b9dc5f8f1f15e79db1106beddd04adcb4795c714,0.9,961.1070738954387,0.0,9611.07073895439,32641.858676022817,92292.21335925398,101903.28409820836,0.020865701089377874,10602.37253784377,10800.0,1200.0,11138.539788365064,37.353081342028865,3000
