model,complete,G,H,plan_cost,emergency_cost,cash_cost,emergency_days,emergency_slots,unused,curtailment,pv,storage_loss,days,Eend,pv_utilization,emergency_cvar,daily_cash_cvar,development_stress_cvar,worst_daily_emergency_cost,worst_daily_cash_cost,min_energy,peak_emergency_kw,risk_budget_unmet_days,max_physical_residual,var_exceedance_rate,expected_var_exceedance_rate,beta,small_tail_sample,start_date,end_date,bootstrap_note,cost_premium_vs_M2
M0,True,20060564.85843403,551811.3173627297,12175625.643370269,3028368.0159239816,15203993.65929425,299,5713,315533.0485486694,1144498.0390370486,19068889.994283333,1222747.692738472,334,1207.9005059029341,0.9399808777867953,41272.71950179984,84733.21389751282,186486.24114105292,86036.11855708215,125660.74390078064,1199.9999999999945,5947.726620238095,0,5.4569682106375694e-12,0.10778443113772455,0.09999999999999998,0.9,False,2025-02-01,2025-12-31,移动日块重采样敏感性区间；不增加独立历史样本，不构成未来安全保证,0.09383597281855383
M1,True,21049968.66436183,135875.01255775706,13225572.99712049,792044.953981036,14017617.951101527,112,1133,762372.7078674876,1344951.7030531513,19068889.994283333,1148890.2933051707,334,1239.4777271139455,0.9294687995233937,19852.508939949927,69366.17690475106,156547.99130151077,71034.40291311758,108344.94067061933,1199.9999999999989,4582.595710882652,0,1.1368683772161603e-12,0.11976047904191617,0.09999999999999998,0.9,False,2025-02-01,2025-12-31,移动日块重采样敏感性区间；不增加独立历史样本，不构成未来安全保证,0.00848337033927038
M2,True,21117854.221429907,111956.18281281745,13253322.331863625,646379.3026668167,13899701.634530442,97,899,793139.3845899737,1347930.186659802,19068889.994283333,1159095.1791561295,334,1256.1588701535889,0.9293126035619327,17016.49361483418,68134.04862898082,154969.93910746637,68342.96598577665,105775.22123004516,1199.9999999999986,4365.042300000001,0,1.3642420526593924e-12,0.11976047904191617,0.09999999999999998,0.9,False,2025-02-01,2025-12-31,移动日块重采样敏感性区间；不增加独立历史样本，不构成未来安全保证,0.0
M3,True,21356156.846961357,92935.42196567664,13468716.88857985,520528.95384167426,13989245.842421522,97,886,973000.3024161669,1415698.0819709408,19068889.994283333,1130803.4204321026,334,1200.9691411570775,0.925758757725523,13540.876075207922,66671.96194772818,149423.09975341905,68099.31593493847,105872.59662529815,1199.9999999999982,4906.864493367348,0,1.8189894035458565e-12,0.12574850299401197,0.09999999999999998,0.9,False,2025-02-01,2025-12-31,移动日块重采样敏感性区间；不增加独立历史样本，不构成未来安全保证,0.0064421676267230055
M3-R,True,22312139.793517083,77804.77371774205,14773798.609937899,435886.51635611744,15209685.126294017,87,764,1951471.017983071,1537278.4157082902,19068889.994283333,971532.7023802168,334,1272.9361965819646,0.9193829102706476,11293.063576551056,84453.73922723073,144241.89187718066,61040.673342246984,100322.66487054396,1199.9999999999986,5398.4,0,1.3642420526593924e-12,0.1317365269461078,0.09999999999999998,0.9,False,2025-02-01,2025-12-31,移动日块重采样敏感性区间；不增加独立历史样本，不构成未来安全保证,0.09424543966535492
M3-S,True,23870884.30085106,13754.838624964877,16969608.971512135,65985.82900473377,17035594.80051687,44,338,2894595.4019395676,2449290.5243897233,19068889.994283333,604380.4900005494,334,7983.228179517315,0.8715556844093182,1933.9842711176523,69160.99212490577,76280.15835281316,10727.234880237706,74097.8090158562,1199.999999999999,1610.735809523809,0,9.094947017729282e-13,0.02694610778443114,0.09999999999999998,0.9,False,2025-02-01,2025-12-31,移动日块重采样敏感性区间；不增加独立历史样本，不构成未来安全保证,0.22560866761312792
M3-RS,True,24564059.700213507,14558.058951311341,17779854.46623957,69253.5108076723,17849107.977047246,39,332,3634278.7574819876,2473728.4426420964,19068889.994283333,534237.8358945525,334,7983.228179517315,0.8702741248502825,2051.328470244372,83496.75903441575,76511.05690033594,10727.234880237706,95661.44146729248,1200.0,1610.735809523809,0,9.094947017729282e-13,0.029940119760479042,0.09999999999999998,0.9,False,2025-02-01,2025-12-31,移动日块重采样敏感性区间；不增加独立历史样本，不构成未来安全保证,0.2841360517196614
