date,E0,Eend,min_energy,G,H,peak_emergency_kw,plan_cost,emergency_cost,cash_cost,emergency_days,emergency_slots,unused,curtailment,pv,storage_loss,max_residual,model,alpha,plan_feasible,objective,constraint_violation,risk_budget,risk_cvar,stress_budget,design_stress_cost,forecast_train_end,scene_end,effective_scenarios,var_exceeded,development_stress_worst_cost,locked_plan_sha256,array_sha256,predicted_beta,predicted_mean_emergency_cost,predicted_emergency_var,predicted_emergency_cvar,predicted_robust_emergency_cvar,predicted_cash_var,predicted_cash_cvar,predicted_emergency_probability,predicted_mean_end_energy,predicted_low_end_energy,predicted_minimum_energy,predicted_worst_emergency_kwh,predicted_effective_n,optimizer_evaluations
2025-02-01,10800.0,7357.99597014204,1649.748722820611,53415.2827226124,0.0,0.0,31639.68781502593,0.0,31639.68781502593,0,0,12204.728074800196,7728.502933333333,41927.03035,2545.879811003507,7.958078640513122e-13,M3-S,1.0,True,43337.967090275015,0.0,,,26689.57149480037,26686.64260667271,2025-01-31,2025-01-31,28.047968011126635,False,14501.825378460837,b2c01e225dc895e84429e5be84657a96b9d68f66447ed57255de4ff47118ff8d,962a18b346abd1fc8f042c3bd8765638fbd4125e339d15407772fdefd9d81e0e,0.9,5695.712044706026,3142.678126887601,48498.810930520536,129321.34013760381,34782.36594191353,80138.49874554647,0.9293348128662775,6942.195065744603,6425.202497946431,1200.000000000001,34366.83650175094,28.047968011126635,3000
2025-02-02,7357.99597014204,9065.323158673787,2077.9308888888895,104079.8608313835,0.0,0.0,67950.8645927521,0.0,67950.8645927521,0,0,20192.314098529576,291.1723000000004,43349.69469999999,3532.769294322178,9.094947017729282e-13,M3-S,0.9,True,78943.18731603307,0.0,,,50521.86578796936,50485.50099278104,2025-02-01,2025-02-01,28.804209643720352,False,37637.07314797535,664279aa4583d8b6943d4e5a5be6098d73fa6f85395e48aba3e0d7ec8bbfb5b2,8c01c5f7b0624e7bc5fc8870c4d53ec2d28f3467e8cf260f4319bc20aa02e03a,0.9,5364.3102341514905,2107.1042893524527,52160.03751763939,136908.19805129652,70057.96888210456,120110.9021103915,0.47397901899141043,8604.404890608104,8177.9959383705,1810.1618170068018,35481.86982641927,28.804209643720352,3000
2025-02-03,9065.323158673787,10357.039202677315,1993.228759259259,103248.5315244016,0.0,0.0,67476.55138627018,0.0,67476.55138627018,0,0,18304.432892677265,22.810283333333473,42386.85249999999,3412.655804387476,9.094947017729282e-13,M3-S,0.85,True,76528.4815554956,0.0,,,50053.80228345097,50042.46593212901,2025-02-02,2025-02-02,29.91039312965003,False,38756.933322572295,68968720a9c12ec0f6cbd629ac73ab6a197ff29ff56dd984d0d99923de6ca516,4264a99a1886acda6c690e65c13e1437ca28b0d67d53ba05a5dc0b6597690021,0.9,4040.2768169343376,1478.5147945671074,39628.99357768426,124480.38081475034,68955.06618083728,107105.54496395444,0.23765741266174661,9953.554599843257,9558.8507765853,1747.189488033869,35037.62218225628,29.91039312965003,3000
2025-02-04,10357.039202677315,9173.82445158796,2291.7404074074107,99972.26948386698,0.0,0.0,66149.30227544259,0.0,66149.30227544259,0,0,16395.05671590941,170.79591666666624,40383.2349,3394.767652380268,9.094947017729282e-13,M3-S,0.85,True,75782.72210458212,0.0,,,49936.6946000585,49926.801033938624,2025-02-03,2025-02-03,31.196761996969347,False,43564.15203205065,a25d1836bc981e3419535769e96ff6fc71c909a4d2fc80c524bdf72062331fc6,9ee3c027e524fd243d7f11cfddefe2de52dcfddbe2fea36fa071843a83e4300b,0.9,4049.0240258919002,1586.6706068753017,39840.767005885136,125276.19330085235,67735.97288231789,105990.06928132773,0.2075251311795917,8786.578052635305,8265.701770363623,1889.6509521211262,35160.68465180922,31.196761996969347,3000
2025-02-05,9173.82445158796,10376.08864047905,2033.6314444444429,102480.65093657581,0.0,0.0,67013.42740712139,0.0,67013.42740712139,0,0,16821.92669638063,41.182350000000156,41242.65745,3666.8507179707667,9.094947017729282e-13,M3-S,0.85,True,76321.02673721826,0.0,,,49848.98036730359,49838.9159988208,2025-02-04,2025-02-04,32.78060316821474,False,42659.97890806412,8a5d56e09da2c879380a422f48a87b49231bca2e489bb71574cbfbc389de1365,e4fca669a9a19510c7f4b46e0dc3b62eb10c3ad5883308508a1380abd0fba83f,0.9,4237.629587673909,1579.846390953663,41534.25565642131,126758.94594382404,68593.27379807505,108547.6830635427,0.29693016824505036,9918.67836898685,9498.783903995205,1726.3790376023553,35112.67701596755,32.78060316821474,3000
2025-02-06,10376.08864047905,9935.03153387852,2103.2566851851843,101253.7959604298,0.0,0.0,66974.47812175342,0.0,66974.47812175342,0,0,18119.876592301094,1.400816666666742,41981.10548333333,3302.5184413958877,9.094947017729282e-13,M3-S,0.9,True,76332.54557434282,0.0,,,50175.47058887317,50164.74400533731,2025-02-05,2025-02-05,33.86212468912227,False,41992.344438641216,992d2e91193352415a2a89b92310368f8a46020966cae47b9f8d72e33a6ab2d0,0b5fc2c202db298320a1a8b4f0c0131f725c9af9c0ec429358e106010d38573d,0.9,4294.318425783665,2253.1213620891303,41538.27940429899,124917.84648951939,69227.59948384255,108512.75752605242,0.448404538141191,9610.440170398513,9166.541877249174,1806.5914407879818,34875.82903548274,33.86212468912227,3000
2025-02-07,9935.03153387852,7724.649303438863,1240.9385687619676,53930.92548708324,14.289983475055408,64.22761904761933,31610.42189601156,69.78194100841051,31680.203837019973,1,3,11741.204971947187,9874.489708436215,44362.91726666666,2734.223353947888,9.094947017729282e-13,M3-S,1.0,True,41909.51793192316,0.0,,,25863.72342393282,25858.137103238714,2025-02-06,2025-02-06,34.638808005107244,False,18596.067742802654,b7a0c8eadce11b7f382ad77b77ebc2aa219d5d6934e62a0379c50a68310d117f,333ad144dcd03618d6710eb2287ac5ed62383c1eae42a8e019a3771443fbc498,0.9,4729.721322389607,3019.602489229939,40237.45743811193,120866.61676017435,34630.0243852415,71847.87933412349,0.7686381213147753,7882.447527640927,7378.927634004182,1200.000000000001,34462.4925909895,34.638808005107244,3000
2025-02-08,7724.649303438863,7830.15403786567,1293.4593249559093,53622.915949343864,3.818109126985462,22.90865476191277,31022.613588310625,26.635129269850584,31049.248717580474,1,1,9595.361164621652,9407.510322222224,44169.6248,2941.195120533509,9.094947017729282e-13,M3-S,1.0,True,41890.51212501138,0.0,,,25500.072495560686,25499.031307768968,2025-02-07,2025-02-07,34.37643360843018,False,15317.04285439912,5b21d8c9a17e5626f305942ff3495c42d15ebb51747f28716c35acc5c42c4096,e69560de1b61452e888e5e17b5151780bccb37fd7da3af12dd72a983a3f752f4,0.9,5100.979260096708,2767.7876973675784,45040.95027303262,127318.60377981476,33790.40128567821,76063.56386134325,0.7549648228062277,7786.517894365906,7345.050324821137,1200.0000000000005,35384.94962152332,34.37643360843018,3000
2025-02-09,7830.15403786567,9279.951332700326,2091.9944814814835,101441.00827118185,0.0,0.0,66273.67052194865,0.0,66273.67052194865,0,0,16774.48557467876,46.93039999999996,41992.48759999999,3614.379035001785,8.331113576787175e-13,M3-S,0.875,True,76065.71055098317,0.0,,,48740.91357847869,48729.081375235524,2025-02-08,2025-02-08,35.152832400658255,False,45628.15145264925,13a9b0b905f7502c3acc0f6c26d875d1660c507e8cac32e61b09df805a1dea82,6fdc5d7d6de067389cabae34857718ec601aa58157bee64b8eff4ea3acc0776c,0.9,4521.66584833876,894.9264972033159,44835.7391622675,128958.05881089988,67168.59701915196,111109.40968421614,0.18721743032535912,9195.257912168992,8741.912726836128,1883.3455082947535,34748.608057107485,35.152832400658255,3000
2025-02-10,9279.951332700326,9346.54414727484,2070.797000000001,100057.74216251435,0.0,0.0,65585.92343955011,0.0,65585.92343955011,0,0,21468.61519176115,1122.0857999999996,47150.92693333333,3073.8107728453497,9.094947017729282e-13,M3-S,0.85,True,74675.5966043246,0.0,,,48968.546269440485,48958.42638370651,2025-02-09,2025-02-09,37.353081342028865,False,30833.14048040537,46309b29d9022fbaf50abb05962c90a400cf9886e4d2f95a77d450b407fc6e62,7cc1671618254d892ea2530aa303a05900a1fa18729fc0f84aef7c2af8ffa43f,0.9,3760.1397416405275,880.0263966811723,37215.51503693207,122755.23744004274,66465.94983623129,102801.43847648217,0.1757288251521696,9369.280229137861,8930.76409060455,1855.3319248378061,35150.152636837156,37.353081342028865,3000
